age,is_disabled,service_type,staff_efficiency_score,time_of_day,actual_duration_min
37,0,Cash_Withdrawal,0.87,16,5.2
77,0,Fixed_Deposit,1.07,14,22.8
37,0,Fixed_Deposit,0.98,13,15.2
53,0,Lost_Card,1.0,13,9.5
65,0,Cash_Withdrawal,1.06,10,4.3
82,0,Cash_Deposit,0.98,12,4.9
37,1,Fixed_Deposit,0.84,14,30.2
28,0,Loan_Inquiry,0.82,16,21.3
38,0,Forex,0.95,14,22.9
24,0,Lost_Card,0.83,10,11.4
50,0,Loan_Inquiry,0.93,11,16.9
62,0,Account_Opening,0.85,10,30.9
60,0,Cash_Withdrawal,1.06,15,5.1
83,0,Lost_Card,0.92,12,10.3
42,0,Loan_Inquiry,0.86,13,21.0
30,0,Cash_Deposit,1.06,11,4.5
41,0,Loan_Inquiry,1.09,9,12.9
70,0,KYC_Update,1.19,13,10.6
47,0,Forex,1.19,16,9.8
42,0,Fixed_Deposit,0.98,13,19.0
71,1,KYC_Update,1.12,11,12.0
50,0,Fixed_Deposit,1.15,10,16.3
33,0,Loan_Inquiry,0.91,11,15.2
73,0,KYC_Update,1.13,14,14.3
68,0,KYC_Update,0.95,10,13.6
65,0,Lost_Card,1.17,14,9.9
54,0,Fixed_Deposit,1.08,11,16.8
78,0,Cash_Deposit,1.16,9,4.6
88,1,Account_Opening,0.84,13,48.5
48,0,Cash_Deposit,0.9,16,8.2
81,0,Cash_Deposit,1.05,12,6.4
36,0,Cash_Deposit,1.05,12,3.9
28,0,Lost_Card,0.83,9,11.5
67,0,Cash_Deposit,1.05,14,5.4
26,0,Cash_Withdrawal,1.11,14,4.1
35,0,Lost_Card,1.13,11,11.2
79,0,Loan_Inquiry,0.83,16,16.5
22,0,Cash_Deposit,1.12,9,3.9
68,1,Fixed_Deposit,0.9,12,26.3
54,0,Cash_Deposit,1.15,14,4.4
73,0,Fixed_Deposit,1.16,15,23.5
61,1,Fixed_Deposit,1.08,14,24.4
28,0,Cash_Withdrawal,0.97,11,4.0
87,0,Cash_Withdrawal,0.83,13,5.0
72,0,Fixed_Deposit,0.94,9,24.1
63,0,Account_Opening,0.91,9,34.2
64,0,Loan_Inquiry,1.18,11,15.9
74,0,Cash_Withdrawal,0.89,14,3.7
22,0,Fixed_Deposit,1.18,14,22.4
74,0,Loan_Inquiry,1.01,15,16.7
32,0,Loan_Inquiry,1.0,15,18.4
89,0,Forex,1.08,12,24.5
80,0,Loan_Inquiry,1.14,16,14.4
40,0,Fixed_Deposit,1.2,14,14.2
88,0,Forex,1.14,11,16.5
64,0,Cash_Withdrawal,1.19,11,3.9
64,0,Lost_Card,0.99,11,13.7
29,0,Account_Opening,1.2,16,12.4
27,0,Lost_Card,1.06,16,8.9
77,0,Lost_Card,0.85,11,14.2
82,0,Cash_Deposit,1.13,11,4.6
56,0,Lost_Card,1.17,12,5.8
54,0,Forex,0.88,13,30.6
34,0,Cash_Withdrawal,1.0,11,3.3
39,0,Lost_Card,1.14,9,7.3
21,0,Forex,1.06,15,20.0
87,0,Forex,0.99,15,24.6
56,0,Cash_Deposit,0.86,15,5.4
36,0,Lost_Card,1.09,14,10.2
69,0,Lost_Card,1.01,10,10.4
52,0,Loan_Inquiry,0.84,13,20.4
67,0,Account_Opening,0.9,11,36.1
58,0,Loan_Inquiry,1.0,16,9.6
81,0,Fixed_Deposit,0.81,15,19.2
45,0,Cash_Deposit,0.82,16,6.0
78,0,Cash_Deposit,1.14,15,6.0
64,0,Lost_Card,0.82,9,13.6
90,0,Lost_Card,1.02,10,10.7
88,0,Cash_Withdrawal,0.85,10,6.6
68,0,Lost_Card,1.02,14,11.3
83,0,Cash_Deposit,0.82,11,6.5
60,0,Fixed_Deposit,0.86,11,21.1
38,0,Forex,1.04,16,24.1
90,0,Cash_Deposit,0.95,10,8.6
21,0,Forex,1.19,12,16.1
24,0,Loan_Inquiry,1.01,15,18.6
22,0,Cash_Withdrawal,0.88,16,5.8
58,0,Account_Opening,1.08,15,18.6
78,0,Cash_Deposit,1.08,12,5.0
89,0,Fixed_Deposit,1.01,14,25.7
86,0,Lost_Card,1.07,13,10.0
79,0,KYC_Update,0.91,13,15.3
56,0,KYC_Update,1.08,16,16.4
58,0,Forex,0.92,15,27.1
62,1,Loan_Inquiry,0.92,13,17.4
28,0,Fixed_Deposit,1.06,16,18.2
52,1,Forex,0.85,12,34.4
49,0,KYC_Update,1.06,9,12.8
78,0,Loan_Inquiry,0.8,11,23.8
70,0,Fixed_Deposit,0.99,12,19.2
54,0,Cash_Withdrawal,1.06,12,3.0
86,0,Cash_Deposit,1.17,11,2.8
22,1,Account_Opening,1.12,11,32.9
55,0,Cash_Deposit,0.92,10,7.2
76,1,Fixed_Deposit,1.16,11,20.0
82,0,KYC_Update,1.12,14,14.2
50,0,Cash_Deposit,1.09,13,6.0
90,0,KYC_Update,0.87,15,18.6
29,0,Cash_Withdrawal,0.87,11,4.0
79,0,KYC_Update,0.8,15,18.4
60,0,Cash_Deposit,0.9,14,8.6
48,0,Cash_Withdrawal,0.99,11,3.5
57,0,Forex,0.95,12,23.7
46,1,Fixed_Deposit,0.86,14,23.2
78,0,KYC_Update,1.1,10,14.4
85,0,Lost_Card,0.83,10,17.2
82,0,Loan_Inquiry,0.87,16,20.3
32,0,Fixed_Deposit,0.84,16,22.6
83,0,Cash_Deposit,1.02,13,3.9
20,0,Cash_Deposit,1.1,10,6.3
26,0,Cash_Deposit,1.17,10,5.1
78,0,Account_Opening,0.87,11,35.8
71,0,Account_Opening,0.98,15,15.8
66,0,Loan_Inquiry,1.06,14,21.8
68,0,KYC_Update,1.13,9,15.3
56,0,Account_Opening,1.01,12,24.8
53,0,Cash_Withdrawal,0.81,15,6.4
20,0,Cash_Withdrawal,0.84,9,3.4
24,0,Cash_Deposit,0.96,12,5.9
87,0,Cash_Deposit,0.86,13,6.9
58,0,Lost_Card,0.89,11,16.8
84,0,Forex,0.91,11,24.1
81,0,Lost_Card,1.18,15,8.8
85,0,Account_Opening,0.96,13,23.3
78,0,KYC_Update,0.92,11,18.0
77,0,Account_Opening,1.19,11,22.1
60,0,Fixed_Deposit,1.14,10,18.9
86,0,KYC_Update,0.82,15,16.9
27,0,KYC_Update,0.99,14,10.9
56,1,Cash_Deposit,0.88,12,7.3
79,0,KYC_Update,0.96,12,13.5
88,0,Forex,0.95,14,25.0
81,0,Fixed_Deposit,1.1,14,22.5
44,0,Account_Opening,0.82,12,30.4
88,1,Account_Opening,0.92,12,34.7
60,0,KYC_Update,1.0,14,13.0
80,0,Lost_Card,0.87,16,16.4
41,0,Cash_Deposit,1.01,10,7.5
18,0,KYC_Update,0.83,11,14.9
19,0,Fixed_Deposit,0.95,16,18.7
86,0,Cash_Deposit,0.81,13,6.8
86,1,Cash_Deposit,1.0,15,8.3
31,0,Loan_Inquiry,0.9,13,11.5
63,0,Account_Opening,0.83,15,30.0
46,0,Cash_Withdrawal,1.06,9,4.0
29,0,Account_Opening,1.02,9,19.4
28,0,Account_Opening,1.06,14,20.0
90,1,Cash_Withdrawal,1.16,9,4.8
90,0,Cash_Deposit,1.17,13,8.1
87,0,Cash_Deposit,0.87,14,8.2
36,0,Account_Opening,1.17,13,21.7
38,0,Account_Opening,1.07,14,19.6
28,0,Lost_Card,0.82,15,15.6
47,0,Lost_Card,1.04,15,12.3
52,0,Fixed_Deposit,1.0,14,19.3
88,1,Account_Opening,0.87,15,47.4
49,0,Cash_Withdrawal,0.91,15,5.5
37,0,Lost_Card,0.94,10,13.4
64,0,Cash_Withdrawal,0.85,11,5.3
73,0,Account_Opening,0.84,10,33.5
59,0,Cash_Deposit,0.92,15,6.5
28,0,KYC_Update,1.03,11,12.3
52,0,Fixed_Deposit,0.86,11,21.3
73,0,Forex,0.99,10,17.5
81,0,KYC_Update,0.98,11,18.6
56,0,Account_Opening,0.93,15,31.1
60,0,Loan_Inquiry,0.92,12,14.2
79,0,Account_Opening,1.19,13,22.3
49,0,Forex,1.13,15,13.8
64,0,KYC_Update,1.04,11,11.9
77,1,KYC_Update,0.98,13,13.0
26,0,Account_Opening,1.07,11,23.2
37,0,Account_Opening,0.83,16,27.4
69,0,Account_Opening,1.02,14,25.4
28,0,KYC_Update,1.06,14,9.0
39,0,Cash_Deposit,1.03,15,6.7
73,0,Cash_Withdrawal,0.9,12,4.5
75,0,Fixed_Deposit,1.11,11,18.8
31,0,Cash_Withdrawal,0.85,11,5.4
62,0,Fixed_Deposit,1.11,16,15.6
75,0,Forex,0.82,10,30.3
20,0,Cash_Withdrawal,1.07,11,5.6
84,0,Loan_Inquiry,0.93,15,18.1
77,0,Account_Opening,1.05,11,25.0
21,0,KYC_Update,0.98,15,11.8
67,0,KYC_Update,0.88,10,12.4
86,0,Lost_Card,0.88,10,12.5
51,0,Fixed_Deposit,1.01,14,16.2
32,0,Fixed_Deposit,1.05,13,14.8
28,0,Lost_Card,0.85,13,13.2
36,0,Account_Opening,1.04,15,29.7
72,0,Loan_Inquiry,1.02,16,15.2
75,0,Lost_Card,1.18,16,10.4
35,0,Account_Opening,1.19,16,16.1
74,0,Cash_Withdrawal,1.03,12,4.8
55,0,KYC_Update,1.02,11,13.4
81,0,Cash_Withdrawal,1.03,13,3.0
87,0,Lost_Card,1.02,9,11.3
45,1,Cash_Withdrawal,1.09,12,3.1
56,0,Cash_Deposit,0.98,14,6.0
33,0,KYC_Update,0.88,14,14.4
72,0,Loan_Inquiry,1.11,12,15.4
86,0,Loan_Inquiry,0.93,13,15.2
55,0,Cash_Withdrawal,0.85,15,7.9
34,0,Loan_Inquiry,0.9,14,14.5
49,0,Account_Opening,1.0,13,21.6
27,0,Cash_Withdrawal,0.96,13,3.5
65,0,Fixed_Deposit,0.93,9,23.8
29,0,Fixed_Deposit,1.05,14,14.6
26,0,Account_Opening,0.89,15,33.5
59,0,Lost_Card,1.02,11,8.7
90,0,Lost_Card,1.16,9,12.6
76,0,Loan_Inquiry,0.98,9,17.5
72,0,Loan_Inquiry,1.15,13,17.0
53,0,Lost_Card,0.9,14,16.1
39,0,Forex,1.09,12,16.8
30,0,Fixed_Deposit,0.83,12,22.3
84,0,Cash_Deposit,0.8,14,9.5
72,0,Fixed_Deposit,0.83,15,17.1
29,0,Cash_Withdrawal,0.84,14,5.6
35,0,Loan_Inquiry,0.83,9,17.1
39,0,KYC_Update,1.05,11,15.0
74,0,Cash_Withdrawal,1.16,11,3.4
33,0,Account_Opening,0.94,15,28.2
53,0,KYC_Update,1.02,13,12.8
21,0,Forex,0.88,12,22.7
24,0,KYC_Update,1.0,10,11.5
48,0,Cash_Withdrawal,1.01,9,6.3
34,0,Account_Opening,0.95,11,28.0
78,1,Cash_Withdrawal,0.81,10,7.5
25,1,Account_Opening,1.0,15,31.9
72,0,Cash_Withdrawal,1.06,11,4.3
83,1,Loan_Inquiry,1.01,15,23.1
26,0,Account_Opening,1.09,12,24.9
73,0,Cash_Deposit,0.92,11,6.6
33,0,Loan_Inquiry,1.08,11,13.0
84,0,Forex,0.87,11,28.4
52,0,Cash_Withdrawal,1.11,9,3.1
85,0,Cash_Withdrawal,1.0,14,5.9
25,0,Loan_Inquiry,0.95,13,16.6
32,0,Cash_Deposit,0.82,9,3.0
49,0,Lost_Card,0.95,11,13.8
22,0,Account_Opening,0.89,12,39.5
71,0,Lost_Card,0.91,10,11.8
24,0,Cash_Deposit,1.18,10,4.3
77,0,Forex,0.93,16,26.0
90,0,KYC_Update,0.99,16,14.0
43,0,KYC_Update,0.86,15,17.8
19,1,Cash_Deposit,1.1,15,6.0
57,0,KYC_Update,0.97,9,13.5
53,0,KYC_Update,1.16,15,11.2
65,0,Cash_Withdrawal,1.03,11,3.7
90,0,Loan_Inquiry,0.89,13,17.5
58,1,Account_Opening,1.08,14,27.6
27,1,Loan_Inquiry,1.11,10,18.9
37,0,Fixed_Deposit,0.99,15,22.1
44,0,Fixed_Deposit,0.91,10,23.7
29,0,Forex,1.13,9,19.4
36,0,KYC_Update,1.19,15,14.9
83,0,Forex,0.9,11,31.3
75,0,KYC_Update,0.84,10,17.3
35,0,Cash_Deposit,1.13,12,6.3
65,0,Cash_Withdrawal,1.03,13,5.3
27,0,Cash_Withdrawal,0.88,16,4.7
60,0,Fixed_Deposit,0.82,15,22.9
68,0,Account_Opening,1.07,11,20.1
53,0,Loan_Inquiry,0.81,12,22.9
55,0,Fixed_Deposit,0.82,13,19.6
85,0,Cash_Deposit,1.2,14,6.2
79,0,Fixed_Deposit,0.94,14,21.6
58,0,Cash_Deposit,1.16,13,4.9
25,0,Fixed_Deposit,1.01,12,19.2
48,0,Cash_Deposit,1.11,12,4.4
67,0,Loan_Inquiry,0.87,14,21.0
21,0,Lost_Card,1.18,11,6.4
90,1,Fixed_Deposit,1.02,11,24.4
47,0,Cash_Deposit,1.01,9,5.0
60,0,KYC_Update,1.12,14,10.9
59,0,Loan_Inquiry,1.03,11,10.5
32,0,Lost_Card,1.18,14,8.5
30,0,Lost_Card,0.85,11,10.1
73,0,Fixed_Deposit,1.06,11,18.9
63,0,Loan_Inquiry,0.95,13,12.9
34,0,Cash_Deposit,1.18,15,6.2
90,0,Lost_Card,1.17,12,7.1
90,0,Fixed_Deposit,0.86,10,27.1
39,0,Cash_Withdrawal,1.13,14,6.7
75,0,KYC_Update,0.9,10,13.7
18,0,Fixed_Deposit,1.09,11,22.4
70,0,Account_Opening,0.94,15,35.3
46,0,Cash_Withdrawal,1.12,9,4.3
55,0,Forex,1.18,10,14.1
38,0,Cash_Withdrawal,0.94,16,6.0
21,0,Loan_Inquiry,1.04,15,16.5
44,1,Account_Opening,1.08,13,28.5
54,0,Cash_Withdrawal,0.82,16,5.4
72,0,Fixed_Deposit,0.88,9,24.0
44,0,Forex,1.19,16,18.7
68,0,Forex,0.84,15,24.4
41,0,Account_Opening,0.95,16,31.5
51,0,Forex,1.03,11,22.6
30,0,Lost_Card,1.12,15,12.4
88,0,Account_Opening,1.13,15,26.5
86,0,Fixed_Deposit,1.03,12,18.5
22,0,Loan_Inquiry,0.85,16,17.8
40,1,Loan_Inquiry,1.19,12,16.3
73,0,Loan_Inquiry,1.13,13,16.0
58,0,Cash_Withdrawal,0.83,15,3.4
84,0,Cash_Deposit,1.11,15,4.6
32,0,Loan_Inquiry,1.03,10,18.9
30,0,Lost_Card,1.15,13,7.5
67,0,Fixed_Deposit,0.81,13,19.6
69,0,Lost_Card,1.08,9,11.3
78,1,Lost_Card,0.81,13,14.0
30,1,KYC_Update,0.85,16,19.8
59,0,Account_Opening,1.04,10,27.8
70,0,Lost_Card,1.13,11,11.5
26,0,Account_Opening,0.85,9,34.1
43,0,KYC_Update,0.81,9,18.4
64,0,Forex,0.95,16,15.8
33,0,KYC_Update,0.95,16,12.5
40,1,Fixed_Deposit,1.03,14,18.9
51,0,Cash_Withdrawal,0.91,15,6.4
24,0,KYC_Update,1.14,12,9.8
70,0,Cash_Deposit,0.99,11,4.8
40,0,Cash_Deposit,0.89,13,5.1
53,0,Account_Opening,1.14,16,14.3
50,0,Forex,1.07,15,20.1
65,0,Forex,0.92,10,24.3
79,0,Forex,1.06,13,20.2
56,0,KYC_Update,1.16,15,14.5
58,0,Cash_Deposit,1.06,13,4.6
67,0,KYC_Update,0.94,12,15.3
86,0,Fixed_Deposit,1.16,14,13.5
89,0,Cash_Withdrawal,0.99,13,4.5
89,0,Loan_Inquiry,1.18,14,15.0
46,0,Forex,0.97,14,20.3
65,0,Forex,0.99,10,14.9
27,0,KYC_Update,1.0,15,13.9
85,0,Cash_Deposit,1.15,11,6.0
70,1,Fixed_Deposit,0.86,11,29.3
28,0,Loan_Inquiry,0.93,9,18.1
39,0,Loan_Inquiry,1.0,10,16.6
34,0,Account_Opening,0.96,16,25.0
43,0,Cash_Deposit,1.16,12,4.6
20,0,KYC_Update,0.89,14,14.5
82,0,Loan_Inquiry,0.83,9,21.1
56,1,Fixed_Deposit,1.09,14,16.7
35,0,Fixed_Deposit,0.94,12,21.0
39,1,Account_Opening,0.81,12,35.1
20,0,Loan_Inquiry,0.85,9,16.3
66,0,Forex,1.11,9,17.5
31,0,Cash_Deposit,0.82,10,6.4
71,0,Cash_Withdrawal,1.02,16,3.9
19,0,Cash_Withdrawal,1.06,13,3.1
35,0,Cash_Withdrawal,1.0,10,4.0
81,0,KYC_Update,1.11,12,15.4
63,0,Forex,0.86,16,28.8
79,0,Cash_Deposit,0.81,10,6.2
32,0,Fixed_Deposit,0.86,10,23.2
30,0,KYC_Update,0.98,13,11.5
51,0,Cash_Withdrawal,1.13,9,4.1
58,0,Cash_Withdrawal,0.84,9,4.0
19,0,Loan_Inquiry,0.93,16,18.0
29,0,Lost_Card,0.87,15,12.2
69,1,Forex,1.13,16,23.1
39,0,Cash_Deposit,1.19,11,2.6
31,0,Fixed_Deposit,1.12,16,17.3
63,0,Loan_Inquiry,0.99,16,17.6
32,0,Fixed_Deposit,0.82,13,21.7
85,0,KYC_Update,1.19,14,12.2
84,0,Cash_Withdrawal,0.97,12,3.2
67,0,Cash_Deposit,0.8,11,7.4
82,0,Fixed_Deposit,1.15,10,19.1
60,1,Cash_Deposit,1.0,15,5.0
69,0,Cash_Withdrawal,0.98,16,5.3
58,0,Fixed_Deposit,1.1,9,18.2
31,0,Cash_Deposit,1.02,9,6.1
56,0,KYC_Update,1.06,16,8.2
61,0,Cash_Deposit,1.13,16,3.2
78,0,Lost_Card,1.09,10,14.0
30,0,KYC_Update,0.8,14,19.0
55,0,Lost_Card,1.08,9,4.7
39,0,Account_Opening,0.84,12,34.2
68,0,KYC_Update,1.09,10,16.9
71,0,Cash_Withdrawal,1.11,16,2.5
82,0,Fixed_Deposit,0.8,9,26.0
88,1,Fixed_Deposit,1.17,11,21.5
34,0,Lost_Card,1.0,15,9.8
71,1,KYC_Update,0.91,14,19.8
35,0,Forex,1.14,14,18.5
88,0,KYC_Update,0.88,13,13.8
34,1,Loan_Inquiry,1.0,14,13.8
32,0,Fixed_Deposit,1.03,15,16.3
86,0,Account_Opening,1.12,10,18.3
21,0,Cash_Deposit,1.07,12,4.4
54,0,Loan_Inquiry,1.14,13,17.5
44,0,Cash_Deposit,0.94,16,7.7
89,0,Account_Opening,0.9,13,37.8
24,1,Account_Opening,0.97,14,34.2
50,0,Fixed_Deposit,1.13,14,17.3
87,0,KYC_Update,1.11,12,11.9
27,0,Loan_Inquiry,1.09,10,16.6
66,0,Forex,1.02,11,26.3
18,0,Loan_Inquiry,0.82,14,24.2
24,0,Forex,1.0,14,27.6
85,0,Loan_Inquiry,1.01,11,20.1
71,0,Account_Opening,0.84,12,36.9
60,0,KYC_Update,1.18,16,8.2
89,0,Cash_Deposit,0.85,14,4.3
49,1,Lost_Card,0.95,10,14.8
